Data;Eur;GBP;USD;CAD;AUD;SGD;CHF;JPY;KRW;BRL;RUB
04/01/1999;1,00;0,71;4,17;1,80;1,91;3,22;1,62;133,73;1398,59;9,92;25,29
05/01/1999;1,00;0,71;4,70;1,80;1,89;3,80;1,61;130,96;1373,01;54,68;26,59
06/01/1999;1,00;0,71;4,66;1,77;1,88;3,79;1,61;131,42;1359,54;54,50;27,43
07/01/1999;1,00;0,71;4,67;1,76;1,85;3,79;1,62;129,43;1337,16;54,62;26,99
08/01/1999;1,00;0,71;4,67;1,76;1,84;3,82;1,61;130,09;1366,73;54,86;27,21
09/01/1999;1,00;0,70;4,72;1,75;1,81;3,86;1,61;126,33;1356,70;55,38;27,01
10/01/1999;1,00;0,71;3,87;1,74;1,81;2,43;1,61;129,63;1353,43;22,59;26,64
11/01/1999;1,00;0,71;4,15;1,81;1,86;3,15;1,59;131,89;1377,93;18,82;26,45
12/01/1999;1,00;0,71;4,41;1,77;1,84;2,52;1,59;132,74;1382,23;27,56;26,57
13/01/1999;1,00;0,70;4,68;1,78;1,84;3,81;1,60;131,74;1375,76;54,77;26,57
14/01/1999;1,00;0,70;4,71;1,77;1,83;3,81;1,60;132,90;1371,26;54,76;27,21
15/01/1999;1,00;0,70;4,75;1,77;1,83;3,81;1,60;132,14;1364,47;55,03;26,76
16/01/1999;1,00;0,70;4,73;1,76;1,81;3,81;1,60;131,59;1349,24;54,99;26,89
17/01/1999;1,00;0,70;3,71;1,75;1,82;2,35;1,60;130,34;1356,82;39,63;26,61
18/01/1999;1,00;0,70;3,98;1,75;1,82;2,87;1,60;131,88;1365,80;47,22;27,00
19/01/1999;1,00;0,70;4,71;1,76;1,83;3,80;1,60;132,09;1366,16;54,89;26,87
20/01/1999;1,00;0,70;4,70;1,76;1,84;3,82;1,60;131,81;1360,47;54,57;26,62
21/01/1999;1,00;0,70;4,74;1,75;1,83;3,85;1,61;131,91;1354,55;55,10;26,58
22/01/1999;1,00;0,69;4,76;1,74;1,83;3,85;1,61;132,25;1341,07;55,10;26,16
23/01/1999;1,00;0,69;4,75;1,73;1,81;3,88;1,61;132,10;1337,33;55,13;26,35
24/01/1999;1,00;0,69;3,15;1,71;1,79;3,70;1,61;130,88;1331,58;5,35;26,24
25/01/1999;1,00;0,69;2,58;1,71;1,77;2,64;1,60;127,70;1326,43;17,01;26,44
26/01/1999;1,00;0,69;4,75;1,72;1,76;3,90;1,60;126,86;1327,18;55,30;26,54
27/01/1999;1,00;0,69;4,77;1,70;1,75;3,91;1,60;127,65;1318,51;55,41;26,13
28/01/1999;1,00;0,69;4,73;1,68;1,73;3,94;1,60;127,95;1321,34;55,31;26,25
29/01/1999;1,00;0,69;4,75;1,67;1,72;3,93;1,60;127,82;1322,19;55,45;25,96
30/01/1999;1,00;0,69;1,27;1,69;1,75;2,20;1,60;129,91;1332,26;6,03;26,00
31/01/1999;1,00;0,70;1,13;1,69;1,76;1,92;1,60;130,73;1335,81;2,15;25,92
